animal_type,intake_year,breed,Count of breed
Cat,2017,Domestic Shorthair Mix,5097
Cat,2017,Domestic Medium Hair Mix,489
Cat,2017,Domestic Longhair Mix,227
Cat,2017,Siamese Mix,208
Cat,2017,American Shorthair Mix,197
Cat,2017,Domestic Shorthair,81
Cat,2017,Domestic Medium Hair,22
Cat,2017,Maine Coon Mix,17
Cat,2017,Snowshoe Mix,16
Cat,2017,Domestic Longhair,12
Cat,2017,Russian Blue Mix,11
Cat,2017,American Curl Shorthair Mix,10
Cat,2017,Siamese,9
Cat,2017,Manx Mix,8
Cat,2017,Persian Mix,6
Cat,2017,Himalayan Mix,5
Cat,2017,Bengal Mix,4
Cat,2017,Maine Coon,4
Cat,2017,Persian,3
Cat,2017,Bengal/Domestic Shorthair,2
Cat,2017,Birman Mix,2
Cat,2017,Japanese Bobtail Mix,2
Cat,2017,Ragdoll Mix,2
Cat,2017,Cornish Rex Mix,2
Cat,2017,Turkish Angora Mix,2
Cat,2017,Himalayan,2
Cat,2017,Balinese Mix,1
Cat,2017,Domestic Longhair/Domestic Longhair,1
Cat,2017,Domestic Medium Hair/Manx,1
Cat,2017,Norwegian Forest Cat Mix,1
Cat,2017,Sphynx,1
Cat,2017,Oriental Sh Mix,1
Cat,2017,Scottish Fold Mix,1
Cat,2017,Domestic Shorthair/Domestic Shorthair,1
Cat,2017,Domestic Medium Hair/Siamese,1
Cat,2017,Domestic Shorthair/Maine Coon,1
Cat,2017,Snowshoe/Ragdoll,1
Cat,2017,Abyssinian Mix,1
Cat,2017,Tonkinese Mix,1
Cat,2017,Russian Blue,1
Cat,2017,Munchkin Longhair Mix,1
Cat,2017,Cymric Mix,1
Cat,2018,Domestic Shorthair Mix,565
Cat,2018,Domestic Medium Hair Mix,75
Cat,2018,Domestic Longhair Mix,39
Cat,2018,Siamese Mix,13
Cat,2018,Domestic Shorthair,6
Cat,2018,Siamese,5
Cat,2018,Maine Coon Mix,4
Cat,2018,American Shorthair Mix,3
Cat,2018,Snowshoe Mix,3
Cat,2018,American Curl Shorthair,3
Cat,2018,Domestic Medium Hair,2
Cat,2018,Himalayan Mix,2
Cat,2018,Manx Mix,1
Cat,2018,Japanese Bobtail/American Curl Shorthair,1
Cat,2018,Bengal Mix,1
Cat,2018,Ragdoll Mix,1
Cat,2018,American Curl Shorthair/Siamese,1
Cat,2018,Russian Blue,1
Cat,2018,Scottish Fold/Domestic Shorthair,1
Dog,2013,Pit Bull Mix,311
Dog,2013,Chihuahua Shorthair Mix,279
Dog,2013,Labrador Retriever Mix,247
Dog,2013,German Shepherd Mix,98
Dog,2013,Australian Cattle Dog Mix,70
Dog,2013,Dachshund Mix,55
Dog,2013,Australian Shepherd Mix,47
Dog,2013,Miniature Poodle Mix,43
Dog,2013,Border Collie Mix,37
Dog,2013,Boxer Mix,30
Dog,2013,Rat Terrier Mix,29
Dog,2013,Jack Russell Terrier Mix,25
Dog,2013,Catahoula Mix,24
Dog,2013,American Bulldog Mix,23
Dog,2013,Chihuahua Longhair Mix,21
Dog,2013,Chihuahua Shorthair,21
Dog,2013,Australian Kelpie Mix,20
Dog,2013,Cairn Terrier Mix,20
Dog,2013,Dachshund/Chihuahua Shorthair,20
Dog,2013,Border Collie/Labrador Retriever,19
Dog,2013,Beagle Mix,19
Dog,2013,Rottweiler Mix,18
Dog,2013,Labrador Retriever/German Shepherd,18
Dog,2013,Pit Bull,17
Dog,2013,American Pit Bull Terrier Mix,17
Dog,2013,American Staffordshire Terrier Mix,17
Dog,2013,Siberian Husky Mix,17
Dog,2013,Labrador Retriever/Pit Bull,17
Dog,2013,Miniature Schnauzer Mix,17
Dog,2013,Pointer Mix,15
Dog,2013,Staffordshire Mix,15
Dog,2013,Anatol Shepherd Mix,15
Dog,2013,Labrador Retriever,15
Dog,2013,Yorkshire Terrier Mix,14
Dog,2013,Black Mouth Cur Mix,14
Dog,2013,German Shepherd/Labrador Retriever,13
Dog,2013,Chinese Sharpei Mix,12
Dog,2013,Beagle/Chihuahua Shorthair,12
Dog,2013,Doberman Pinsch Mix,12
Dog,2013,Pit Bull/Labrador Retriever,12
Dog,2013,German Shepherd,11
Dog,2013,Chihuahua Shorthair/Dachshund,11
Dog,2013,Queensland Heeler Mix,10
Dog,2013,Shih Tzu Mix,10
Dog,2013,Cardigan Welsh Corgi Mix,10
Dog,2013,Plott Hound Mix,10
Dog,2013,Jack Russell Terrier,10
Dog,2013,Maltese Mix,9
Dog,2013,Miniature Pinscher Mix,9
Dog,2013,Border Terrier Mix,9
Dog,2013,Miniature Schnauzer/Miniature Poodle,9
Dog,2013,Great Pyrenees Mix,9
Dog,2013,Basset Hound Mix,8
Dog,2013,Pug Mix,8
Dog,2013,Pit Bull/Boxer,8
Dog,2013,Chow Chow Mix,8
Dog,2013,Cocker Spaniel Mix,8
Dog,2013,German Shepherd/Mastiff,8
Dog,2013,Flat Coat Retriever Mix,7
Dog,2013,Australian Cattle Dog,7
Dog,2013,Miniature Poodle,7
Dog,2013,Belgian Malinois Mix,7
Dog,2013,Boxer/Pit Bull,7
Dog,2013,Boston Terrier Mix,7
Dog,2013,Golden Retriever Mix,7
Dog,2013,Mastiff Mix,6
Dog,2013,Labrador Retriever/Border Collie,6
Dog,2013,Black/Tan Hound Mix,6
Dog,2013,Chihuahua Shorthair/Rat Terrier,6
Dog,2013,Lhasa Apso Mix,6
Dog,2013,Cocker Spaniel,6
Dog,2013,Norfolk Terrier Mix,6
Dog,2013,Dachshund,6
Dog,2013,Leonberger Mix,6
Dog,2013,Parson Russell Terrier Mix,5
Dog,2013,Shih Tzu,5
Dog,2013,Pomeranian Mix,5
Dog,2013,Collie Smooth Mix,5
Dog,2013,Maltese/Miniature Poodle,5
Dog,2013,Anatol Shepherd/Labrador Retriever,5
Dog,2013,Bull Terrier Mix,5
Dog,2013,Blue Lacy Mix,5
Dog,2013,Rhod Ridgeback Mix,5
Dog,2013,Great Dane,5
Dog,2013,Soft Coated Wheaten Terrier Mix,5
Dog,2013,Labrador Retriever/Rottweiler,5
Dog,2013,Yorkshire Terrier/Chihuahua Shorthair,5
Dog,2013,Toy Poodle Mix,4
Dog,2013,Rottweiler,4
Dog,2013,Redbone Hound Mix,4
Dog,2013,Vizsla Mix,4
Dog,2013,Siberian Husky,4
Dog,2013,Doberman Pinsch,4
Dog,2013,Pug,4
Dog,2013,Boxer,4
Dog,2013,Dachshund Wirehair/Border Terrier,4
Dog,2013,Miniature Schnauzer,4
Dog,2013,Labrador Retriever/Black/Tan Hound,4
Dog,2013,Basenji Mix,4
Dog,2013,Labrador Retriever/Chow Chow,4
Dog,2013,Basset Hound,4
Dog,2013,Australian Cattle Dog/Australian Shepherd,4
Dog,2013,German Shepherd/Siberian Husky,4
Dog,2013,Australian Cattle Dog/Labrador Retriever,4
Dog,2013,Chesa Bay Retr Mix,4
Dog,2013,Great Dane Mix,3
Dog,2013,American Bulldog,3
Dog,2013,Pomeranian,3
Dog,2013,Australian Cattle Dog/Border Collie,3
Dog,2013,Weimaraner Mix,3
Dog,2013,Jack Russell Terrier/Australian Cattle Dog,3
Dog,2013,Brittany Mix,3
Dog,2013,Labrador Retriever/Australian Cattle Dog,3
Dog,2013,Anatol Shepherd/Great Pyrenees,3
Dog,2013,Labrador Retriever/Beagle,3
Dog,2013,Golden Retriever,3
Dog,2013,Labrador Retriever/Chinese Sharpei,3
Dog,2013,Norwich Terrier Mix,3
Dog,2013,Dachshund/Rat Terrier,3
Dog,2013,Brittany,3
Dog,2013,Border Terrier/Yorkshire Terrier,3
Dog,2013,Bruss Griffon Mix,3
Dog,2013,Dachshund Longhair Mix,3
Dog,2013,Rat Terrier/Chihuahua Shorthair,3
Dog,2013,Chihuahua Shorthair/Pug,3
Dog,2013,Shiba Inu Mix,3
Dog,2013,Manchester Terrier/Chihuahua Shorthair,3
Dog,2013,Siberian Husky/German Shepherd,3
Dog,2013,Miniature Pinscher,3
Dog,2013,Dachshund/Bloodhound,3
Dog,2013,Boxer/Labrador Retriever,3
Dog,2013,Whippet Mix,3
Dog,2013,Beagle,3
Dog,2013,Great Pyrenees,3
Dog,2013,Wire Hair Fox Terrier Mix,2
Dog,2013,Great Pyrenees/German Shepherd,2
Dog,2013,Redbone Hound/Labrador Retriever,2
Dog,2013,English Bulldog,2
Dog,2013,Labrador Retriever/Siberian Husky,2
Dog,2013,Jack Russell Terrier/Pit Bull,2
Dog,2013,Australian Kelpie/Pit Bull,2
Dog,2013,Chinese Sharpei/Labrador Retriever,2
Dog,2013,Rottweiler/Labrador Retriever,2
Dog,2013,Australian Cattle Dog/Chow Chow,2
Dog,2013,Carolina Dog Mix,2
Dog,2013,Boston Terrier/Pointer,2
Dog,2013,Labrador Retriever/Staffordshire,2
Dog,2013,English Foxhound Mix,2
Dog,2013,German Shepherd/Alaskan Husky,2
Dog,2013,Australian Cattle Dog/Pit Bull,2
Dog,2013,Australian Cattle Dog/German Shepherd,2
Dog,2013,English Springer Spaniel Mix,2
Dog,2013,German Shepherd/Nova Scotia Duck Tolling Retriever,2
Dog,2013,Greyhound Mix,2
Dog,2013,Shetland Sheepdog,2
Dog,2013,American Foxhound Mix,2
Dog,2013,Shih Tzu/Miniature Poodle,2
Dog,2013,Miniature Schnauzer/Yorkshire Terrier,2
Dog,2013,Silky Terrier Mix,2
Dog,2013,Labrador Retriever/Basset Hound,2
Dog,2013,Yorkshire Terrier/Miniature Poodle,2
Dog,2013,Harrier Mix,2
Dog,2013,Welsh Terrier Mix,2
Dog,2013,Finnish Spitz Mix,2
Dog,2013,Yorkshire Terrier/Chihuahua Longhair,2
Dog,2013,Pbgv Mix,2
Dog,2013,Cairn Terrier,2
Dog,2013,Pekingese,2
Dog,2013,Cairn Terrier/Chihuahua Shorthair,2
Dog,2013,Pekingese Mix,2
Dog,2013,Beagle/Rat Terrier,2
Dog,2013,American Eskimo Mix,2
Dog,2013,Dachshund Wirehair Mix,2
Dog,2013,Chihuahua Shorthair/Miniature Pinscher,2
Dog,2013,Labrador Retriever/Golden Retriever,2
Dog,2013,Pit Bull/Basset Hound,2
Dog,2013,Schipperke Mix,2
Dog,2013,Pit Bull/Blue Lacy,2
Dog,2013,Labrador Retriever/Great Pyrenees,2
Dog,2013,Labrador Retriever/Boxer,2
Dog,2013,Cardigan Welsh Corgi/Chihuahua Shorthair,2
Dog,2013,Pit Bull/Chinese Sharpei,2
Dog,2013,German Shorthair Pointer Mix,2
Dog,2013,Bluetick Hound Mix,2
Dog,2013,Jack Russell Terrier/Beagle,2
Dog,2013,Pit Bull/Mastiff,2
Dog,2013,Skye Terrier Mix,2
Dog,2013,Australian Cattle Dog/Bloodhound,2
Dog,2013,Australian Shepherd/Labrador Retriever,2
Dog,2013,Bullmastiff Mix,2
Dog,2013,Treeing Walker Coonhound Mix,2
Dog,2013,Pointer/Anatol Shepherd,2
Dog,2013,Catahoula/Labrador Retriever,2
Dog,2013,Pointer/Australian Cattle Dog,2
Dog,2013,Jack Russell Terrier/Chihuahua Shorthair,2
Dog,2013,Pointer/Pit Bull,2
Dog,2013,Catahoula/Australian Cattle Dog,2
Dog,2013,Border Collie/Chow Chow,2
Dog,2013,Bichon Frise,2
Dog,2013,Black Mouth Cur/Dachshund,2
Dog,2013,Pembroke Welsh Corgi Mix,2
Dog,2013,Alaskan Husky Mix,2
Dog,2013,Dachshund/English Bulldog,1
Dog,2013,Chow Chow/Labrador Retriever,1
Dog,2013,Pit Bull/Pointer,1
Dog,2013,Dachshund/Parson Russell Terrier,1
Dog,2013,St. Bernard Rough Coat/German Shepherd,1
Dog,2013,Dachshund/Pembroke Welsh Corgi,1
Dog,2013,Pharaoh Hound Mix,1
Dog,2013,Border Collie/American Staffordshire Terrier,1
Dog,2013,American Bulldog/Labrador Retriever,1
Dog,2013,Border Collie/Anatol Shepherd,1
Dog,2013,Collie Smooth/German Shepherd,1
Dog,2013,Border Collie/Australian Shepherd,1
Dog,2013,Dachshund/American Staffordshire Terrier,1
Dog,2013,Doberman Pinsch/Border Collie,1
Dog,2013,Papillon Mix,1
Dog,2013,Doberman Pinsch/Pit Bull,1
Dog,2013,Chihuahua Shorthair/Lhasa Apso,1
Dog,2013,Dogue De Bordeaux/American Bulldog,1
Dog,2013,Podengo Pequeno Mix,1
Dog,2013,Eng Toy Spaniel Mix,1
Dog,2013,Black/Tan Hound,1
Dog,2013,Australian Cattle Dog/Akita,1
Dog,2013,Collie Rough Mix,1
Dog,2013,English Bulldog/American Staffordshire Terrier,1
Dog,2013,Bloodhound Mix,1
Dog,2013,English Foxhound,1
Dog,2013,Standard Schnauzer Mix,1
Dog,2013,Border Collie/Doberman Pinsch,1
Dog,2013,Whippet/Miniature Pinscher,1
Dog,2013,English Pointer,1
Dog,2013,Cavalier Span Mix,1
Dog,2013,English Pointer Mix,1
Dog,2013,Beauceron Mix,1
Dog,2013,English Pointer/Labrador Retriever,1
Dog,2013,Pit Bull/Anatol Shepherd,1
Dog,2013,English Setter Mix,1
Dog,2013,Pit Bull/English Bulldog,1
Dog,2013,English Springer Spaniel,1
Dog,2013,Plott Hound/Australian Cattle Dog,1
Dog,2013,Border Collie/German Shepherd,1
Dog,2013,Pointer/Boxer,1
Dog,2013,Entlebucher Mix,1
Dog,2013,Australian Kelpie/Blue Lacy,1
Dog,2013,Border Collie/Great Pyrenees,1
Dog,2013,Chow Chow/English Cocker Spaniel,1
Dog,2013,Border Collie/Jack Russell Terrier,1
Dog,2013,Black/Tan Hound/German Shepherd,1
Dog,2013,French Bulldog Mix,1
Dog,2013,Scottish Terrier/Cairn Terrier,1
Dog,2013,French Bulldog/Chihuahua Shorthair,1
Dog,2013,Shih Tzu/Cavalier Span,1
Dog,2013,German Pinscher Mix,1
Dog,2013,Silky Terrier/Maltese,1
Dog,2013,Australian Kelpie/Shiba Inu,1
Dog,2013,Staffordshire/French Bulldog,1
Dog,2013,Affenpinscher Mix,1
Dog,2013,Dachshund Wirehair/Miniature Schnauzer,1
Dog,2013,Border Collie/Parson Russell Terrier,1
Dog,2013,Dachshund/Beagle,1
Dog,2013,Yorkshire Terrier/Miniature Schnauzer,1
Dog,2013,Dachshund/Catahoula,1
Dog,2013,German Shepherd/Chow Chow,1
Dog,2013,Newfoundland/Labrador Retriever,1
Dog,2013,German Shepherd/Collie Rough,1
Dog,2013,Alaskan Malamute/German Shepherd,1
Dog,2013,German Shepherd/Collie Smooth,1
Dog,2013,Pbgv,1
Dog,2013,German Shepherd/Golden Retriever,1
Dog,2013,Pekingese/Miniature Poodle,1
Dog,2013,Border Collie/Pit Bull,1
Dog,2013,Chihuahua Shorthair/Cardigan Welsh Corgi,1
Dog,2013,Australian Kelpie/Whippet,1
Dog,2013,Australian Cattle Dog/Parson Russell Terrier,1
Dog,2013,Border Terrier/Affenpinscher,1
Dog,2013,Pit Bull/Chihuahua Shorthair,1
Dog,2013,German Shepherd/Pit Bull,1
Dog,2013,Chihuahua Shorthair/Mexican Hairless,1
Dog,2013,German Shepherd/Rottweiler,1
Dog,2013,Pit Bull/St. Bernard Smooth Coat,1
Dog,2013,Border Terrier/Border Collie,1
Dog,2013,Plott Hound/Labrador Retriever,1
Dog,2013,Australian Shepherd,1
Dog,2013,Black Mouth Cur,1
Dog,2013,Boston Terrier,1
Dog,2013,Pointer/Labrador Retriever,1
Dog,2013,Australian Cattle Dog/Anatol Shepherd,1
Dog,2013,Pomeranian/Border Terrier,1
Dog,2013,Golden Retriever/Border Collie,1
Dog,2013,Pug/Beagle,1
Dog,2013,Golden Retriever/Standard Poodle,1
Dog,2013,Chow Chow/Basset Hound,1
Dog,2013,Boston Terrier/Beagle,1
Dog,2013,Rat Terrier/Queensland Heeler,1
Dog,2013,Boston Terrier/Chihuahua Shorthair,1
Dog,2013,Australian Kelpie/Chihuahua Shorthair,1
Dog,2013,Great Dane/Labrador Retriever,1
Dog,2013,Cocker Spaniel/Dachshund,1
Dog,2013,Australian Shepherd/Australian Cattle Dog,1
Dog,2013,Schipperke/Chihuahua Shorthair,1
Dog,2013,Boston Terrier/Rat Terrier,1
Dog,2013,Shetland Sheepdog Mix,1
Dog,2013,Great Pyrenees/Border Collie,1
Dog,2013,Collie Smooth/Jack Russell Terrier,1
Dog,2013,Australian Shepherd/Brittany,1
Dog,2013,Shih Tzu/Maltese,1
Dog,2013,Great Pyrenees/Labrador Retriever,1
Dog,2013,Dachshund Longhair/Cardigan Welsh Corgi,1
Dog,2013,Greyhound,1
Dog,2013,Australian Kelpie/Labrador Retriever,1
Dog,2013,Australian Shepherd/English Setter,1
Dog,2013,Boerboel Mix,1
Dog,2013,Harrier,1
Dog,2013,Standard Poodle Mix,1
Dog,2013,Boxer/Beagle,1
Dog,2013,Tibetan Terrier Mix,1
Dog,2013,Harrier/Labrador Retriever,1
Dog,2013,Dachshund Wirehair/Standard Poodle,1
Dog,2013,Havanese Mix,1
Dog,2013,Dachshund/Basset Hound,1
Dog,2013,Ibizan Hound Mix,1
Dog,2013,Border Collie,1
Dog,2013,Irish Terrier/Irish Wolfhound,1
Dog,2013,Wire Hair Fox Terrier/German Shepherd,1
Dog,2013,Irish Wolfhound Mix,1
Dog,2013,Yorkshire Terrier/Cairn Terrier,1
Dog,2013,Italian Greyhound/Cavalier Span,1
Dog,2013,Dachshund/Miniature Pinscher,1
Dog,2013,Boxer/Catahoula,1
