animal_type,intake_year,breed,Count of breed
Dog,2013,Shih Tzu/Affenpinscher,1
Dog,2013,Landseer Mix,1
Dog,2013,Shih Tzu/Havanese,1
Dog,2013,Beagle/Boxer,1
Dog,2013,Collie Smooth/Labrador Retriever,1
Dog,2013,Cardigan Welsh Corgi/Pit Bull,1
Dog,2013,Australian Kelpie/Chinese Sharpei,1
Dog,2013,Lhasa Apso/Miniature Poodle,1
Dog,2013,Dachshund Longhair/Chihuahua Shorthair,1
Dog,2013,Maltese,1
Dog,2013,Blue Lacy/Great Dane,1
Dog,2013,Cardigan Welsh Corgi/Rat Terrier,1
Dog,2013,Soft Coated Wheaten Terrier/Yorkshire Terrier,1
Dog,2013,Beagle/Chihuahua Longhair,1
Dog,2013,Staffordshire,1
Dog,2013,Maltese/Papillon,1
Dog,2013,Staffordshire/Beagle,1
Dog,2013,Catahoula,1
Dog,2013,Standard Poodle,1
Dog,2013,Alaskan Malamute Mix,1
Dog,2013,Standard Schnauzer,1
Dog,2013,Mastiff/Dutch Shepherd,1
Dog,2013,Swedish Vallhund Mix,1
Dog,2013,Mastiff/Pit Bull,1
Dog,2013,Toy Poodle,1
Dog,2013,Catahoula/Alaskan Husky,1
Dog,2013,Toy Poodle/Miniature Schnauzer,1
Dog,2013,Beagle/Cocker Spaniel,1
Dog,2013,Vizsla,1
Dog,2013,Miniature Pinscher/Australian Cattle Dog,1
Dog,2013,Vizsla/Dachshund,1
Dog,2013,Catahoula/Boxer,1
Dog,2013,Weimaraner/Labrador Retriever,1
Dog,2013,Catahoula/Chow Chow,1
Dog,2013,West Highland Mix,1
Dog,2013,Miniature Poodle/Labrador Retriever,1
Dog,2013,Whippet/Beagle,1
Dog,2013,Miniature Poodle/Maltese,1
Dog,2013,Dachshund/Cardigan Welsh Corgi,1
Dog,2013,Miniature Poodle/Yorkshire Terrier,1
Dog,2013,Yorkshire Terrier,1
Dog,2013,Beagle/Dachshund,1
Dog,2013,Yorkshire Terrier/Border Terrier,1
Dog,2013,Catahoula/Mastiff,1
Dog,2013,Australian Kelpie/Miniature Pinscher,1
Dog,2013,Catahoula/Pit Bull,1
Dog,2013,Dachshund/German Pinscher,1
Dog,2013,Catahoula/Pointer,1
Dog,2013,Newfoundland/Australian Cattle Dog,1
Dog,2013,German Shepherd/Black/Tan Hound,1
Dog,2014,Pit Bull Mix,1374
Dog,2014,Chihuahua Shorthair Mix,1084
Dog,2014,Labrador Retriever Mix,815
Dog,2014,German Shepherd Mix,372
Dog,2014,Australian Cattle Dog Mix,245
Dog,2014,Dachshund Mix,203
Dog,2014,Border Collie Mix,152
Dog,2014,Miniature Poodle Mix,148
Dog,2014,Boxer Mix,144
Dog,2014,Catahoula Mix,123
Dog,2014,Jack Russell Terrier Mix,113
Dog,2014,Rat Terrier Mix,106
Dog,2014,Australian Shepherd Mix,106
Dog,2014,Yorkshire Terrier Mix,105
Dog,2014,Beagle Mix,94
Dog,2014,Siberian Husky Mix,89
Dog,2014,Miniature Schnauzer Mix,86
Dog,2014,Chihuahua Shorthair/Dachshund,86
Dog,2014,Australian Kelpie Mix,82
Dog,2014,American Bulldog Mix,79
Dog,2014,Rottweiler Mix,77
Dog,2014,American Staffordshire Terrier Mix,70
Dog,2014,Chihuahua Longhair Mix,66
Dog,2014,Cairn Terrier Mix,64
Dog,2014,Labrador Retriever,63
Dog,2014,Shih Tzu Mix,61
Dog,2014,Pointer Mix,61
Dog,2014,Great Pyrenees Mix,61
Dog,2014,Staffordshire Mix,56
Dog,2014,Labrador Retriever/Pit Bull,50
Dog,2014,Plott Hound Mix,49
Dog,2014,Dachshund/Chihuahua Shorthair,49
Dog,2014,Golden Retriever Mix,47
Dog,2014,Dachshund,47
Dog,2014,Chihuahua Shorthair,47
Dog,2014,Anatol Shepherd Mix,47
Dog,2014,Pit Bull,46
Dog,2014,German Shepherd/Labrador Retriever,46
Dog,2014,Miniature Pinscher Mix,46
Dog,2014,American Pit Bull Terrier Mix,43
Dog,2014,Black Mouth Cur Mix,40
Dog,2014,German Shepherd,38
Dog,2014,Labrador Retriever/German Shepherd,36
Dog,2014,Cardigan Welsh Corgi Mix,35
Dog,2014,Chow Chow Mix,35
Dog,2014,Shih Tzu,32
Dog,2014,Queensland Heeler Mix,32
Dog,2014,Manchester Terrier Mix,32
Dog,2014,Miniature Schnauzer/Miniature Poodle,32
Dog,2014,Boston Terrier Mix,32
Dog,2014,Labrador Retriever/Border Collie,31
Dog,2014,Maltese Mix,30
Dog,2014,Cocker Spaniel Mix,30
Dog,2014,Pomeranian Mix,29
Dog,2014,Doberman Pinsch Mix,29
Dog,2014,Australian Cattle Dog/Labrador Retriever,29
Dog,2014,Carolina Dog Mix,27
Dog,2014,Border Terrier Mix,27
Dog,2014,Maltese,26
Dog,2014,Flat Coat Retriever Mix,26
Dog,2014,Border Collie/Labrador Retriever,25
Dog,2014,Pug Mix,24
Dog,2014,Chihuahua Shorthair/Pug,23
Dog,2014,Chihuahua Shorthair/Jack Russell Terrier,23
Dog,2014,Basset Hound Mix,23
Dog,2014,Maltese/Miniature Poodle,22
Dog,2014,Dachshund Longhair Mix,22
Dog,2014,Chihuahua Shorthair/Rat Terrier,22
Dog,2014,Australian Cattle Dog,22
Dog,2014,Boxer,22
Dog,2014,Blue Lacy Mix,22
Dog,2014,Rottweiler,21
Dog,2014,Lhasa Apso Mix,21
Dog,2014,Collie Smooth Mix,21
Dog,2014,Siberian Husky,20
Dog,2014,Dachshund Wirehair Mix,20
Dog,2014,Labrador Retriever/Australian Cattle Dog,19
Dog,2014,Chinese Sharpei Mix,19
Dog,2014,Beagle,19
Dog,2014,Toy Poodle Mix,18
Dog,2014,Labrador Retriever/Pointer,18
Dog,2014,Labrador Retriever/Australian Shepherd,18
Dog,2014,English Bulldog Mix,18
Dog,2014,Bull Terrier Mix,18
Dog,2014,Pit Bull/Labrador Retriever,17
Dog,2014,Rat Terrier/Chihuahua Shorthair,17
Dog,2014,Great Dane Mix,17
Dog,2014,Shetland Sheepdog Mix,16
Dog,2014,Miniature Schnauzer,16
Dog,2014,Great Pyrenees,16
Dog,2014,Labrador Retriever/Boxer,16
Dog,2014,Dogo Argentino Mix,16
Dog,2014,Pekingese Mix,15
Dog,2014,Rhod Ridgeback Mix,15
Dog,2014,Miniature Poodle/Miniature Schnauzer,15
Dog,2014,Parson Russell Terrier Mix,15
Dog,2014,Black/Tan Hound Mix,15
Dog,2014,Redbone Hound Mix,14
Dog,2014,Pembroke Welsh Corgi Mix,14
Dog,2014,Weimaraner Mix,14
Dog,2014,Yorkshire Terrier,14
Dog,2014,Mastiff Mix,14
Dog,2014,Miniature Poodle,14
Dog,2014,Miniature Pinscher/Chihuahua Shorthair,14
Dog,2014,Chihuahua Shorthair/Cardigan Welsh Corgi,14
Dog,2014,Doberman Pinsch,14
Dog,2014,Rat Terrier,13
Dog,2014,Pug/Chihuahua Shorthair,13
Dog,2014,Pit Bull/Boxer,13
Dog,2014,Chihuahua Shorthair/Cairn Terrier,13
Dog,2014,Catahoula/Labrador Retriever,13
Dog,2014,Boston Terrier,13
Dog,2014,Basset Hound,13
Dog,2014,Pit Bull/Australian Cattle Dog,12
Dog,2014,Labrador Retriever/Blue Lacy,12
Dog,2014,Labrador Retriever/Chow Chow,12
Dog,2014,Australian Shepherd/Labrador Retriever,12
Dog,2014,Bruss Griffon Mix,12
Dog,2014,Akita Mix,12
Dog,2014,Boxer/Pit Bull,12
Dog,2014,Belgian Malinois Mix,12
Dog,2014,West Highland Mix,11
Dog,2014,Pointer/Labrador Retriever,11
Dog,2014,Italian Greyhound Mix,11
Dog,2014,German Shorthair Pointer Mix,11
Dog,2014,Bulldog Mix,11
Dog,2014,Boxer/Labrador Retriever,11
Dog,2014,Border Collie,11
Dog,2014,Shiba Inu Mix,10
Dog,2014,Soft Coated Wheaten Terrier Mix,10
Dog,2014,Pug,10
Dog,2014,Labrador Retriever/Great Pyrenees,10
Dog,2014,Lhasa Apso,10
Dog,2014,German Shepherd/Australian Cattle Dog,10
Dog,2014,Cairn Terrier/Chihuahua Shorthair,10
Dog,2014,Cocker Spaniel,10
Dog,2014,American Eskimo Mix,10
Dog,2014,Border Collie/German Shepherd,10
Dog,2014,Whippet Mix,9
Dog,2014,Pit Bull/Catahoula,9
Dog,2014,Wire Hair Fox Terrier Mix,9
Dog,2014,Smooth Fox Terrier Mix,9
Dog,2014,Plott Hound/Labrador Retriever,9
Dog,2014,German Shepherd/Rottweiler,9
Dog,2014,German Shepherd/Chow Chow,9
Dog,2014,Labrador Retriever/Catahoula,9
Dog,2014,Cardigan Welsh Corgi/Chihuahua Shorthair,9
Dog,2014,Dachshund/Beagle,9
Dog,2014,Chihuahua Shorthair/Beagle,9
Dog,2014,Border Collie/Great Pyrenees,9
Dog,2014,Rhod Ridgeback/Labrador Retriever,8
Dog,2014,Yorkshire Terrier/Miniature Poodle,8
Dog,2014,Great Dane/Labrador Retriever,8
Dog,2014,Norfolk Terrier Mix,8
Dog,2014,Harrier Mix,8
Dog,2014,Chow Chow/Labrador Retriever,8
Dog,2014,English Pointer Mix,8
Dog,2014,Australian Cattle Dog/Pit Bull,8
Dog,2014,Bichon Frise Mix,8
Dog,2014,Beagle/German Shepherd,8
Dog,2014,Tibetan Spaniel Mix,7
Dog,2014,Standard Poodle Mix,7
Dog,2014,Siberian Husky/German Shepherd,7
Dog,2014,Pug/Beagle,7
Dog,2014,Rottweiler/Labrador Retriever,7
Dog,2014,Vizsla Mix,7
Dog,2014,Labrador Retriever/Beagle,7
Dog,2014,Jack Russell Terrier,7
Dog,2014,German Shepherd/Boxer,7
Dog,2014,Great Pyrenees/Border Collie,7
Dog,2014,Havanese Mix,7
Dog,2014,Golden Retriever/Chow Chow,7
Dog,2014,German Shepherd/Siberian Husky,7
Dog,2014,Dogue De Bordeaux Mix,7
Dog,2014,Catahoula/Pit Bull,7
Dog,2014,Chesa Bay Retr Mix,7
Dog,2014,Cavalier Span Mix,7
Dog,2014,Dachshund Longhair,7
Dog,2014,Chihuahua Shorthair/Border Terrier,7
Dog,2014,Feist Mix,7
Dog,2014,Chihuahua Shorthair/Yorkshire Terrier,7
Dog,2014,Australian Cattle Dog/Border Collie,7
Dog,2014,American Bulldog,7
Dog,2014,Australian Shepherd,7
Dog,2014,Staffordshire,6
Dog,2014,Pit Bull/Chinese Sharpei,6
Dog,2014,Siberian Husky/Labrador Retriever,6
Dog,2014,Pbgv Mix,6
Dog,2014,St. Bernard Smooth Coat Mix,6
Dog,2014,West Highland,6
Dog,2014,Standard Schnauzer Mix,6
Dog,2014,Siberian Husky/Australian Cattle Dog,6
Dog,2014,Pomeranian,6
Dog,2014,German Shepherd/Doberman Pinsch,6
Dog,2014,Great Pyrenees/Labrador Retriever,6
Dog,2014,Norwich Terrier Mix,6
Dog,2014,Jack Russell Terrier/Dachshund,6
Dog,2014,Golden Retriever/Labrador Retriever,6
Dog,2014,Labrador Retriever/Basset Hound,6
Dog,2014,Irish Terrier Mix,6
Dog,2014,Papillon Mix,6
Dog,2014,Bullmastiff Mix,6
Dog,2014,Cane Corso Mix,6
Dog,2014,Bull Terrier,6
Dog,2014,Cairn Terrier/Yorkshire Terrier,6
Dog,2014,French Bulldog Mix,6
Dog,2014,Chinese Sharpei/Labrador Retriever,6
Dog,2014,Cairn Terrier,6
Dog,2014,Chow Chow,6
Dog,2014,Dutch Shepherd Mix,6
Dog,2014,Border Terrier/Chihuahua Shorthair,6
Dog,2014,Australian Cattle Dog/Beagle,6
Dog,2014,Beagle/Dachshund,6
Dog,2014,Beagle/Labrador Retriever,6
Dog,2014,American Staffordshire Terrier,6
Dog,2014,Blue Lacy/American Bulldog,6
Dog,2014,Australian Shepherd/Border Collie,6
Dog,2014,Pointer/Catahoula,5
Dog,2014,Pembroke Welsh Corgi,5
Dog,2014,Pit Bull/Pointer,5
Dog,2014,Plott Hound,5
Dog,2014,Yorkshire Terrier/Maltese,5
Dog,2014,Schipperke Mix,5
Dog,2014,Yorkshire Terrier/Cairn Terrier,5
Dog,2014,German Shepherd/Cardigan Welsh Corgi,5
Dog,2014,Otterhound Mix,5
Dog,2014,Labrador Retriever/Plott Hound,5
Dog,2014,Labrador Retriever/Siberian Husky,5
Dog,2014,Great Dane,5
Dog,2014,Miniature Pinscher,5
Dog,2014,Jack Russell Terrier/Australian Cattle Dog,5
Dog,2014,Jack Russell Terrier/Chihuahua Shorthair,5
Dog,2014,Irish Setter/Pit Bull,5
Dog,2014,Manchester Terrier/Beagle,5
Dog,2014,Labrador Retriever/Chinese Sharpei,5
Dog,2014,Chow Chow/Australian Cattle Dog,5
Dog,2014,German Shepherd/Border Collie,5
Dog,2014,Catahoula,5
Dog,2014,Chihuahua Longhair,5
Dog,2014,Chihuahua Shorthair/Dachshund Wirehair,5
Dog,2014,English Foxhound Mix,5
Dog,2014,Dachshund Wirehair/Chihuahua Shorthair,5
Dog,2014,Chihuahua Shorthair/Boston Terrier,5
Dog,2014,Catahoula/Pointer,5
Dog,2014,Collie Rough Mix,5
Dog,2014,Finnish Spitz Mix,5
Dog,2014,Chow Chow/German Shepherd,5
Dog,2014,American Bulldog/Pit Bull,5
Dog,2014,Beauceron Mix,5
Dog,2014,Australian Kelpie,5
Dog,2014,Boxer/Catahoula,5
Dog,2014,Alaskan Husky Mix,5
Dog,2014,American Staffordshire Terrier/Labrador Retriever,5
Dog,2014,Basset Hound/Australian Cattle Dog,5
Dog,2014,Anatol Shepherd,5
Dog,2014,Basenji Mix,5
Dog,2014,Brittany Mix,5
Dog,2014,Wire Hair Fox Terrier/Chihuahua Shorthair,4
Dog,2014,Toy Fox Terrier Mix,4
Dog,2014,Silky Terrier Mix,4
Dog,2014,Presa Canario Mix,4
Dog,2014,Treeing Walker Coonhound Mix,4
Dog,2014,Patterdale Terr Mix,4
Dog,2014,Pekingese,4
Dog,2014,Pit Bull/Weimaraner,4
Dog,2014,Tibetan Terrier Mix,4
Dog,2014,Pharaoh Hound Mix,4
Dog,2014,Toy Poodle,4
Dog,2014,Pbgv,4
Dog,2014,Wire Hair Fox Terrier/Beagle,4
Dog,2014,Samoyed Mix,4
Dog,2014,Pointer/Border Collie,4
Dog,2014,Newfoundland Mix,4
Dog,2014,Greater Swiss Mountain Dog Mix,4
Dog,2014,Labrador Retriever/Collie Smooth,4
Dog,2014,Greyhound Mix,4
Dog,2014,Miniature Schnauzer/Chihuahua Shorthair,4
Dog,2014,Labrador Retriever/Jack Russell Terrier,4
Dog,2014,Norfolk Terrier/Yorkshire Terrier,4
Dog,2014,Labrador Retriever/American Bulldog,4
Dog,2014,Great Pyrenees/Standard Poodle,4
Dog,2014,Labrador Retriever/Australian Kelpie,4
Dog,2014,Jack Russell Terrier/Labrador Retriever,4
Dog,2014,Miniature Poodle/Maltese,4
Dog,2014,German Shepherd/Catahoula,4
Dog,2014,Dalmatian,4
Dog,2014,English Coonhound Mix,4
Dog,2014,Catahoula/German Shepherd,4
Dog,2014,Chihuahua Shorthair/Miniature Pinscher,4
Dog,2014,French Bulldog,4
Dog,2014,Chinese Crested Mix,4
Dog,2014,Dalmatian Mix,4
Dog,2014,Chow Chow/Golden Retriever,4
Dog,2014,Dutch Shepherd,4
Dog,2014,Cocker Spaniel/Miniature Poodle,4
Dog,2014,Catahoula/Plott Hound,4
Dog,2014,German Shepherd/Alaskan Malamute,4
Dog,2014,Dachshund/Australian Cattle Dog,4
Dog,2014,Collie Smooth/Labrador Retriever,4
Dog,2014,Alaskan Malamute Mix,4
Dog,2014,Bruss Griffon/Pug,4
Dog,2014,American Foxhound Mix,4
Dog,2014,Australian Cattle Dog/Pointer,4
Dog,2014,Beagle/Jack Russell Terrier,4
Dog,2014,Black Mouth Cur,4
Dog,2014,Affenpinscher Mix,4
Dog,2014,Anatol Shepherd/Labrador Retriever,4
Dog,2014,Boston Terrier/Chihuahua Shorthair,4
Dog,2014,Australian Cattle Dog/Akita,4
Dog,2014,Bloodhound Mix,4
Dog,2014,Beagle/Chihuahua Shorthair,4
Dog,2014,Beagle/Pug,4
Dog,2014,Yorkshire Terrier/Chihuahua Shorthair,3
Dog,2014,Pit Bull/German Shepherd,3
Dog,2014,Welsh Terrier Mix,3
Dog,2014,Rottweiler/Australian Cattle Dog,3
Dog,2014,Rhod Ridgeback,3
Dog,2014,Pit Bull/Chihuahua Shorthair,3
Dog,2014,Pointer/American Pit Bull Terrier,3
Dog,2014,Podengo Pequeno Mix,3
Dog,2014,Pointer/Australian Cattle Dog,3
Dog,2014,Yorkshire Terrier/Miniature Schnauzer,3
Dog,2014,Whippet/Dachshund,3
Dog,2014,Rat Terrier/Beagle,3
Dog,2014,Queensland Heeler/Pit Bull,3
Dog,2014,Shetland Sheepdog,3
Dog,2014,Yorkshire Terrier/Border Terrier,3
Dog,2014,German Shepherd/Pit Bull,3
Dog,2014,Miniature Poodle/Cocker Spaniel,3
Dog,2014,Greyhound,3
Dog,2014,Labrador Retriever/Great Dane,3
Dog,2014,German Shepherd/Chinese Sharpei,3
Dog,2014,Labrador Retriever/American Pit Bull Terrier,3
Dog,2014,Golden Retriever,3
Dog,2014,Labrador Retriever/Rottweiler,3
Dog,2014,Labrador Retriever/Golden Retriever,3
Dog,2014,German Shorthair Pointer,3
Dog,2014,Miniature Poodle/Dachshund,3
Dog,2014,Labrador Retriever/Black Mouth Cur,3
Dog,2014,Parson Russell Terrier,3
Dog,2014,Keeshond Mix,3
Dog,2014,Harrier,3
Dog,2014,Great Dane/Mastiff,3
Dog,2014,Maltese/Yorkshire Terrier,3
Dog,2014,Kuvasz Mix,3
Dog,2014,Golden Retriever/Great Pyrenees,3
Dog,2014,German Shepherd/Golden Retriever,3
Dog,2014,Great Pyrenees/Rottweiler,3
Dog,2014,Labrador Retriever/Flat Coat Retriever,3
Dog,2014,Manchester Terrier/Jack Russell Terrier,3
Dog,2014,Labrador Retriever/Doberman Pinsch,3
Dog,2014,Chihuahua Shorthair/Wire Hair Fox Terrier,3
Dog,2014,Carolina Dog,3
Dog,2014,Chinese Sharpei,3
Dog,2014,Chihuahua Longhair/Maltese,3
Dog,2014,Chihuahua Shorthair/Whippet,3
Dog,2014,Cane Corso,3
Dog,2014,Cairn Terrier/Dachshund,3
Dog,2014,Cairn Terrier/Chihuahua Longhair,3
Dog,2014,Flat Coat Retriever/Pit Bull,3
Dog,2014,Chihuahua Shorthair/Italian Greyhound,3
Dog,2014,Dalmatian/Labrador Retriever,3
Dog,2014,Dachshund Longhair/Chihuahua Shorthair,3
Dog,2014,Catahoula/Great Dane,3
Dog,2014,Chihuahua Longhair/Cairn Terrier,3
Dog,2014,English Bulldog,3
Dog,2014,Dachshund/Pit Bull,3
Dog,2014,Chihuahua Longhair/Dachshund,3
Dog,2014,Dachshund/Rat Terrier,3
Dog,2014,Flat Coat Retriever/German Shepherd,3
Dog,2014,Dachshund/Shih Tzu,3
Dog,2014,Cardigan Welsh Corgi/German Shepherd,3
Dog,2014,Chihuahua Shorthair/Miniature Schnauzer,3
Dog,2014,Cardigan Welsh Corgi/Cocker Spaniel,3
Dog,2014,Chesa Bay Retr/Labrador Retriever,3
Dog,2014,Border Terrier/Yorkshire Terrier,3
Dog,2014,Australian Cattle Dog/Catahoula,3
Dog,2014,American Bulldog/Labrador Retriever,3
Dog,2014,Australian Cattle Dog/Plott Hound,3
Dog,2014,Airedale Terrier Mix,3
Dog,2014,Australian Kelpie/Blue Lacy,3
Dog,2014,American Pit Bull Terrier,3
Dog,2014,Australian Shepherd/Australian Cattle Dog,3
Dog,2014,Bernese Mountain Dog Mix,3
Dog,2014,Australian Shepherd/Chow Chow,3
Dog,2014,Bluetick Hound,3
Dog,2014,Australian Shepherd/Cocker Spaniel,3
Dog,2014,Border Terrier,3
Dog,2014,Australian Shepherd/Plott Hound,3
Dog,2014,Alaskan Malamute/Border Collie,3
Dog,2014,Anatol Shepherd/German Shepherd,3
Dog,2014,Boxer/Staffordshire,3
Dog,2014,Bruss Griffon/Chihuahua Shorthair,3
Dog,2014,Bichon Frise,3
Dog,2014,Pit Bull/Flat Coat Retriever,2
Dog,2014,Pointer,2
Dog,2014,Plott Hound/Rhod Ridgeback,2
Dog,2014,Pointer/Harrier,2
Dog,2014,Vizsla,2
Dog,2014,Pointer/Jack Russell Terrier,2
Dog,2014,Whippet/Australian Kelpie,2
Dog,2014,Rat Terrier/Dachshund,2
Dog,2014,Staffordshire/Blue Lacy,2
Dog,2014,Redbone Hound,2
Dog,2014,Treeing Cur Mix,2
Dog,2014,Rottweiler/Chow Chow,2
Dog,2014,Vizsla/Golden Retriever,2
Dog,2014,Rottweiler/Doberman Pinsch,2
Dog,2014,Pug/Labrador Retriever,2
Dog,2014,Rottweiler/German Shepherd,2
Dog,2014,St. Bernard Smooth Coat/Anatol Shepherd,2
Dog,2014,Schipperke/Chihuahua Shorthair,2
Dog,2014,Pit Bull/Dachshund,2
Dog,2014,Scottish Terrier Mix,2
Dog,2014,Staffordshire/English Bulldog,2
Dog,2014,Pit Bull/Pit Bull,2
Dog,2014,Pit Bull/Dalmatian,2
Dog,2014,Shiba Inu/German Shepherd,2
Dog,2014,Treeing Walker Coonhound/Labrador Retriever,2
Dog,2014,Pbgv/Jack Russell Terrier,2
Dog,2014,Pug/Italian Greyhound,2
Dog,2014,Skye Terrier Mix,2
Dog,2014,Weimaraner,2
Dog,2014,Soft Coated Wheaten Terrier,2
Dog,2014,Weimaraner/Labrador Retriever,2
Dog,2014,Soft Coated Wheaten Terrier/Labrador Retriever,2
Dog,2014,Queensland Heeler,2
Dog,2014,Spinone Italiano Mix,2
Dog,2014,Parson Russell Terrier/Chihuahua Shorthair,2
Dog,2014,Plott Hound/Pit Bull,2
Dog,2014,Siberian Husky/Pit Bull,2
Dog,2014,Miniature Poodle/Lhasa Apso,2
Dog,2014,Newfoundland/Great Pyrenees,2
Dog,2014,Labrador Retriever/Dachshund,2
Dog,2014,Jack Russell Terrier/Welsh Terrier,2
Dog,2014,Golden Retriever/Akita,2
Dog,2014,German Shepherd/Pembroke Welsh Corgi,2
Dog,2014,Leonberger Mix,2
Dog,2014,Labrador Retriever/Border Terrier,2
Dog,2014,Lhasa Apso/Miniature Poodle,2
Dog,2014,Jindo Mix,2
Dog,2014,Lhasa Apso/Shih Tzu,2
Dog,2014,Mastiff,2
Dog,2014,Labrador Retriever/English Springer Spaniel,2
Dog,2014,Irish Terrier/Labrador Retriever,2
Dog,2014,Labrador Retriever/Standard Schnauzer,2
Dog,2014,Mastiff/Rottweiler,2
Dog,2014,Great Dane/Anatol Shepherd,2
Dog,2014,Ibizan Hound Mix,2
Dog,2014,Labrador Retriever/Dalmatian,2
Dog,2014,German Shepherd/Collie Rough,2
Dog,2014,Lhasa Apso/Miniature Schnauzer,2
Dog,2014,Great Pyrenees/Australian Cattle Dog,2
Dog,2014,Newfoundland/Labrador Retriever,2
Dog,2014,Glen Of Imaal Mix,2
Dog,2014,Great Dane/Pit Bull,2
Dog,2014,Labrador Retriever/Queensland Heeler,2
Dog,2014,Maltese/Jack Russell Terrier,2
Dog,2014,Labrador Retriever/Cocker Spaniel,2
Dog,2014,Maltese/Toy Poodle,2
Dog,2014,Jack Russell Terrier/Pit Bull,2
Dog,2014,Labrador Retriever/Bloodhound,2
Dog,2014,Labrador Retriever/Chesa Bay Retr,2
Dog,2014,Chihuahua Shorthair/Manchester Terrier,2
Dog,2014,Doberman Pinsch/Labrador Retriever,2
Dog,2014,Dachshund/Jack Russell Terrier,2
Dog,2014,Chihuahua Shorthair/Toy Fox Terrier,2
Dog,2014,English Shepherd Mix,2
Dog,2014,Chihuahua Longhair/Pekingese,2
Dog,2014,Dachshund/Chihuahua Longhair,2
Dog,2014,Chihuahua Longhair/Pomeranian,2
Dog,2014,Doberman Pinsch/Australian Cattle Dog,2
Dog,2014,Chinese Sharpei/Great Dane,2
Dog,2014,Dogo Argentino/Labrador Retriever,2
Dog,2014,Cardigan Welsh Corgi/Miniature Pinscher,2
Dog,2014,English Springer Spaniel Mix,2
Dog,2014,Canaan Dog Mix,2
Dog,2014,French Bulldog/Chihuahua Shorthair,2
Dog,2014,Chow Chow/Basset Hound,2
Dog,2014,Dachshund/Harrier,2
Dog,2014,Chihuahua Shorthair/Basenji,2
Dog,2014,Catahoula/Chinese Sharpei,2
Dog,2014,Collie Rough/Chinese Sharpei,2
Dog,2014,Doberman Pinsch/German Shepherd,2
Dog,2014,Collie Smooth/Boxer,2
Dog,2014,Dogo Argentino,2
Dog,2014,Dachshund Wirehair/Border Terrier,2
Dog,2014,Chihuahua Shorthair/German Shepherd,2
Dog,2014,Dachshund Wirehair/Chihuahua Longhair,2
Dog,2014,English Springer Spaniel,2
Dog,2014,Bull Terrier Miniature Mix,2
Dog,2014,Finnish Spitz/Chow Chow,2
Dog,2014,Catahoula/Boxer,2
Dog,2014,Cavalier Span,2
Dog,2014,German Shepherd/Australian Shepherd,2
Dog,2014,German Pinscher Mix,2
Dog,2014,Chihuahua Shorthair/Pomeranian,2
Dog,2014,Dachshund/Belgian Malinois,2
Dog,2014,Boston Terrier/Pembroke Welsh Corgi,2
Dog,2014,Border Collie/Basenji,2
Dog,2014,Bluetick Hound Mix,2
Dog,2014,Australian Kelpie/Labrador Retriever,2
Dog,2014,Border Collie/Dachshund,2
Dog,2014,Australian Kelpie/Rat Terrier,2
Dog,2014,Boxer/Pointer,2
Dog,2014,Australian Shepherd/Boxer,2
Dog,2014,Alaskan Malamute,2
Dog,2014,Australian Cattle Dog/German Shepherd,2
Dog,2014,Border Collie/Boxer,2
Dog,2014,Australian Shepherd/Pit Bull,2
Dog,2014,Border Terrier/Dachshund,2
Dog,2014,Australian Terrier Mix,2
Dog,2014,Boxer/American Bulldog,2
Dog,2014,Basenji/Chihuahua Longhair,2
Dog,2014,Australian Kelpie/American Pit Bull Terrier,2
Dog,2014,Basset Hound/Beagle,2
Dog,2014,Boerboel Mix,2
Dog,2014,Beagle/Boxer,2
Dog,2014,Border Collie/Australian Cattle Dog,2
Dog,2014,American Pit Bull Terrier/American Pit Bull Terrier,2
Dog,2014,Border Collie/Beagle,2
Dog,2014,Belgian Sheepdog Mix,2
Dog,2014,Border Collie/Chow Chow,2
Dog,2014,Belgian Tervuren Mix,2
Dog,2014,American Staffordshire Terrier/American Bulldog,2
Dog,2014,Bernese Mountain Dog,2
Dog,2014,Australian Cattle Dog/Boxer,2
Dog,2014,Australian Kelpie/Australian Shepherd,2
Dog,2014,Alaskan Malamute/Labrador Retriever,2
Dog,2014,Blue Lacy,2
Dog,2014,Boxer/Boston Terrier,2
Dog,2014,Alaskan Husky/Australian Shepherd,2
Dog,2014,Boxer/Rhod Ridgeback,2
Dog,2014,Akita,2
Dog,2014,Boykin Span Mix,2
Dog,2014,Blue Lacy/Pit Bull,2
Dog,2014,Black/Tan Hound/Black Mouth Cur,2
Dog,2014,Patterdale Terr/Chihuahua Shorthair,1
Dog,2014,Pit Bull/Plott Hound,1
Dog,2014,Swiss Hound/Pit Bull,1
Dog,2014,Yorkshire Terrier/Pomeranian,1
Dog,2014,West Highland/Chihuahua Shorthair,1
Dog,2014,Saluki/Doberman Pinsch,1
Dog,2014,Standard Poodle/Labrador Retriever,1
Dog,2014,Saluki/Labrador Retriever,1
Dog,2014,Toy Poodle/Miniature Schnauzer,1
Dog,2014,Samoyed,1
Dog,2014,Pembroke Welsh Corgi/Pit Bull,1
Dog,2014,Pit Bull/Rottweiler,1
Dog,2014,Queensland Heeler/Basset Hound,1
Dog,2014,Plott Hound/Boxer,1
Dog,2014,Redbone Hound/Redbone Hound,1
Dog,2014,Rat Terrier/Basenji,1
Dog,2014,Standard Schnauzer/Soft Coated Wheaten Terrier,1
Dog,2014,Schnauzer Giant/Labrador Retriever,1
